h3_index,lat,lon,reisezeit_stunden
8444d59ffffffff,32.00244618926164,-81.49349351502218,12.55939769744873
8408d4dffffffff,63.54606018831582,22.805393864632446,7.209591388702393
84259d9ffffffff,42.35306399289004,92.88609996058177,15.90595531463623
8408de7ffffffff,64.95150214649425,29.048623467422864,8.392396926879883
84bef13ffffffff,-28.87792450556266,149.41257733778522,29.61611557006836
8464a09ffffffff,14.61909995644275,99.97329231680925,15.54239559173584
842434dffffffff,46.522281196458536,96.10823367909445,19.73418426513672
84c2dd1ffffffff,-31.589087635913753,-57.271675503794505,21.860864639282227
8429a05ffffffff,34.06261003531997,-116.7348885092861,14.469629287719727
84390dbffffffff,40.56210133116462,-2.2531681547812794,5.11809778213501
84450ebffffffff,19.693388104486726,-87.91203546526621,14.95528793334961
8440633ffffffff,23.578253073066772,100.81780118188153,19.40005874633789
848a255ffffffff,-10.872068893146727,-64.4044803154193,28.32533836364746
8482a45ffffffff,-2.025630985127666,15.103987396575352,16.5155086517334
84ad819ffffffff,-26.787801317910866,18.111163599273638,19.099180221557617
84bef41ffffffff,-29.554948093521816,152.1302583743344,27.142515182495117
843f9d1ffffffff,26.173134356908395,15.09272247741578,13.234429359436035
843d82dffffffff,24.70331051014599,77.26842522484671,16.026872634887695
84f1b01ffffffff,-75.23681204618977,118.55808561948915,30.48126983642578
84a6341ffffffff,-25.42945342120592,115.16574956866191,28.977148056030273
840c703ffffffff,62.076512932253216,-149.1232177509211,20.428600311279297
8466165ffffffff,9.451511304586026,-79.09520129276802,16.196157455444336
84bec17ffffffff,-28.084893128600687,146.26294740754247,30.00727081298828
8452801ffffffff,13.08736543274721,38.56631769093632,15.22913932800293
84665ebffffffff,2.533534949230001,-70.16489263395968,42.74446105957031
840ef17ffffffff,54.51656455472571,-84.14071733355581,37.74799728393555
84195cbffffffff,52.56089349227695,-1.3826297687199989,1.0154675245285034
8441589ffffffff,21.94633001478772,105.56381155784958,16.61948585510254
84e72e7ffffffff,-71.27387354431279,35.28026343956827,16.116500854492188
8465907ffffffff,14.77725321668822,105.91711770142888,18.75722312927246
84806c3ffffffff,-1.603152423404785,-52.37133965802227,22.155576705932617
84ec657ffffffff,-77.82741621892595,155.25281499875265,31.428714752197266
84974c5ffffffff,-19.61844958322976,22.18187075489978,19.277393341064453
8428dabffffffff,50.302483822476326,-123.84687681694905,15.471840858459473
8424ca5ffffffff,37.064978207760014,108.619000783007,16.00751495361328
84105d1ffffffff,64.76133563012637,62.36039290857977,22.462749481201172
8444c4bffffffff,31.87117914500768,-83.95278724435155,12.643171310424805
84e5607ffffffff,-70.34567793530762,109.93253612359747,30.48126983642578
8421a43ffffffff,44.60747453480945,57.777682402372875,20.378454208374023
840d43bffffffff,65.8762329666057,-141.50373002442362,31.49748992919922
