iata_code,name,lat,lon,reisezeit_stunden,anzahl_umstiege
XAP,Serafin Enoss Bertaso Airport,-27.134199142456,-52.656600952148,18.67,2
PKZ,Pakse International Airport,15.132100105285645,105.78099822998048,18.67,2
GES,General Santos International Airport,6.05800008774,125.096000671,18.67,1
YCS,Chesterfield Inlet Airport,63.3469009399,-90.7311019897,18.68,3
YIO,Pond Inlet Airport,72.6832962036,-77.9666976929,18.69,3
HOM,Homer Airport,59.645599365234375,-151.4770050048828,18.7,2
BMV,Buon Ma Thuot Airport,12.668299675,108.120002747,18.7,2
TBB,Dong Tac Airport,13.0495996475,109.333999634,18.7,2
KOS,Sihanoukville International Airport,10.57970047,103.637001038,18.71,2
VDZ,Valdez Pioneer Field,61.13389969,-146.2480011,18.71,2
POJ,Patos de Minas Airport,-18.67280006408691,-46.4911994934082,18.72,2
KNH,Kinmen Airport,24.4279,118.359001,18.73,2
BDO,Husein Sastranegara International Airport,-6.900629997253418,107.57599639892578,18.74,1
BTU,Bintulu Airport,3.12385010719,113.019996643,18.74,1
AAX,Romeu Zema Airport,-19.563199996948,-46.960399627686,18.74,2
YGH,Fort Good Hope Airport,66.24079895019531,-128.6510009765625,18.74,3
PYY,Mae Hong Son Airport,19.3719997406,98.43699646,18.75,2
VPY,Chimoio Airport,-19.15130043029785,33.42900085449219,18.76,2
CXJ,Hugo Cantergiani Regional Airport,-29.197099685699996,-51.1875,18.76,2
XKH,Xieng Khouang Airport,19.450001,103.157997,18.76,2
OGG,Kahului Airport,20.8986,-156.429993,18.76,1
ETR,Santa Rosa International Airport,-3.441986,-79.996957,18.77,2
JCB,Santa Terezinha Airport,-27.1714000702,-51.5532989502,18.77,2
CDV,Merle K (Mudhole) Smith Airport,60.4917984,-145.4779968,18.78,2
HGN,Mae Hong Son Airport,19.301300048828125,97.97579956054688,18.79,2
MLY,Manley Hot Springs Airport,64.99759674069999,-150.643997192,18.8,2
LOH,Camilo Ponce Enriquez Airport,-3.99589,-79.371902,18.81,2
ERM,Erechim Airport,-27.66189956665039,-52.2682991027832,18.82,2
MEU,Monte Dourado Airport,-0.889839,-52.6022,18.83,3
HNL,Daniel K Inouye International Airport,21.32062,-157.924228,18.83,1
SCL,Comodoro Arturo Merino Benítez International Airport,-33.393001556396484,-70.78579711914062,18.83,1
DLI,Lien Khuong Airport,11.75,108.366997,18.83,2
ATM,Altamira Airport,-3.2539100646973,-52.254001617432,18.84,3
GNM,Guanambi Airport,-14.208200454711914,-42.74610137939453,18.84,3
CEM,Central Airport,65.57379913,-144.7830048,18.84,2
WBQ,Beaver Airport,66.362197876,-147.406997681,18.85,2
SPN,Saipan International Airport,15.119,145.729004,18.85,1
ILI,Iliamna Airport,59.75439835,-154.9109955,18.85,2
LIH,Lihue Airport,21.97599983215332,-159.33900451660156,18.87,1
UEL,Quelimane Airport,-17.855499267578125,36.86909866333008,18.87,2
KOA,Ellison Onizuka Kona International At Keahole Airport,19.738783,-156.045603,18.87,1
YBK,Baker Lake Airport,64.29889678960001,-96.077796936,18.88,3
NNT,Nan Airport,18.807899475097656,100.78299713134766,18.88,2
YWB,Kangiqsujuaq (Wakeham Bay) Airport,61.5886001587,-71.929397583,18.88,4
MYY,Miri Airport,4.322010040283203,113.98699951171876,18.89,1
YIK,Ivujivik Airport,62.41730117797851,-77.92530059814453,18.89,4
YHI,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938,18.9,3
MCG,McGrath Airport,62.95289993,-155.6060028,18.9,2
LPB,El Alto International Airport,-16.5132999420166,-68.19229888916016,18.9,1
FYU,Fort Yukon Airport,66.57150268554688,-145.25,18.92,2
ODY,Oudomsay Airport,20.68269920349121,101.99400329589844,18.93,2
LMA,Minchumina Airport,63.886002,-152.302002,18.93,2
SRE,Juana Azurduy De Padilla Airport,-19.007099151611328,-65.2886962890625,18.93,2
UTP,U-Tapao International Airport,12.67990016937256,101.00499725341795,18.93,2
CKS,Carajás Airport,-6.11527776718,-50.0013885498,18.94,3
LTX,Cotopaxi International Airport,-0.906833,-78.615799,18.94,2
VKG,Rach Gia Airport,9.95802997234,105.132379532,18.95,2
HOE,Ban Huoeisay Airport,20.2572994232,100.43699646,18.96,2
ADQ,Kodiak Airport,57.75,-152.4940033,18.97,2
PHS,Phitsanulok Airport,16.782899856567383,100.27899932861328,18.97,2
SRG,Achmad Yani Airport,-6.97273,110.375,18.97,1
CIK,Chalkyitsik Airport,66.6449966431,-143.740005493,18.98,2
LXG,Luang Namtha Airport,20.966999,101.400002,18.98,2
BYO,Bonito Airport,-21.247299,-56.452499,18.99,2
BTT,Bettles Airport,66.91390228,-151.529007,18.99,2
AET,Allakaket Airport,66.5518035889,-152.621994019,18.99,2
VCS,Co Ong Airport,8.73183,106.633003,19.0,2
CAH,Cà Mau Airport,9.177667,105.177778,19.01,2
VCA,Can Tho International Airport,10.085100174,105.711997986,19.02,2
GUM,Antonio B. Won Pat International Airport,13.4834003448,144.796005249,19.02,1
PQC,Phu Quoc International Airport,10.1698,103.9931,19.02,2
KEW,Keewaywin Airport,52.991100311299995,-92.8364028931,19.03,4
AKN,King Salmon Airport,58.67679977,-156.6490021,19.04,2
MDZ,El Plumerillo Airport,-32.8316993713,-68.7929000854,19.05,1
SOC,Adi Sumarmo Wiryokusumo Airport,-7.516089916229248,110.75700378417967,19.06,1
JOG,Adi Sutjipto International Airport,-7.788179874420166,110.43199920654295,19.07,1
SUR,Summer Beaver Airport,52.70859909057617,-88.54190063476562,19.07,4
FKS,Fukushima Airport,37.22740173339844,140.43099975585938,19.07,2
RBY,Ruby Airport,64.72720337,-155.4700012,19.08,2
LBU,Labuan Airport,5.300680160522461,115.25,19.08,1
HPH,Cat Bi International Airport,20.819400787353516,106.7249984741211,19.08,2
ANI,Aniak Airport,61.581600189208984,-159.54299926757812,19.1,2
PET,João Simões Lopes Neto International Airport,-31.718399,-52.327702,19.11,2
DLG,Dillingham Airport,59.04470062,-158.5050049,19.12,2
YEV,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,19.13,3
STM,Maestro Wilson Fonseca Airport,-2.424721956253052,-54.785831451416016,19.14,3
RIA,Santa Maria Airport,-29.711399,-53.688202,19.14,2
AKP,Anaktuvuk Pass Airport,68.13359833,-151.7429962,19.14,2
HNA,Hanamaki Airport,39.4286003112793,141.13499450683594,19.14,2
GAL,Edward G. Pitka Sr Airport,64.73619843,-156.9369965,19.17,2
TJA,Capitan Oriel Lea Plaza Airport,-21.5557003021,-64.7013015747,19.17,2
NQU,Reyes Murillo Airport,5.6964,-77.2806,19.17,3
BSC,José Celestino Mutis Airport,6.20292,-77.3947,19.18,3
YUT,Repulse Bay Airport,66.5214004517,-86.22470092770001,19.18,3
IGR,Cataratas Del Iguazú International Airport,-25.737301,-54.4734,19.19,1
JAU,Francisco Carle Airport,-11.7831001282,-75.47339630130001,19.19,2
REL,Almirante Marco Andres Zar Airport,-43.2105,-65.2703,19.21,1
YRB,Resolute Bay Airport,74.7169036865,-94.9693984985,19.22,3
YHP,Poplar Hill Airport,52.1133,-94.2556,19.23,4
SUB,Juanda International Airport,-7.37982988357544,112.78700256347656,19.24,1
PVA,El Embrujo Airport,13.3569,-81.3583,19.24,3
UNK,Unalakleet Airport,63.88840103,-160.798996,19.24,2
BET,Bethel Airport,60.77980042,-161.8379974,19.26,2
HUU,Alferez Fap David Figueroa Fernandini Airport,-9.878809928894045,-76.20480346679688,19.28,2
ROR,Babelthuap Airport,7.36731,134.544236,19.29,1
YNO,North Spirit Lake Airport,52.4900016784668,-92.97109985351562,19.31,4
CMG,Corumbá International Airport,-19.0119438171,-57.6713905334,19.32,2
SRA,Santa Rosa Airport,-27.9067,-54.520401,19.33,2
ATA,Comandante FAP German Arias Graziani Airport,-9.347439765930176,-77.59839630126953,19.34,2
KSM,St Mary's Airport,62.0605011,-163.302002,19.34,2
BPN,Sultan Aji Muhamad Sulaiman Airport,-1.26827001572,116.893997192,19.34,1
PVH,Governador Jorge Teixeira de Oliveira Airport,-8.70928955078125,-63.90230178833008,19.35,2
SCC,Deadhorse Airport,70.19470215,-148.4649963,19.38,2
BFV,Buri Ram Airport,15.229499816894531,103.25299835205078,19.38,2
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,-13.154800415039062,-74.20439910888672,19.39,2
TGI,Tingo Maria Airport,-9.133000373840332,-75.94999694824219,19.39,2
OMD,Oranjemund Airport,-28.5847,16.446699,19.41,3
TWU,Tawau Airport,4.320159912109375,118.12799835205078,19.45,1
MAQ,Mae Sot Airport,16.699899673461914,98.54509735107422,19.46,2
CJM,Chumphon Airport,10.711199760437012,99.36170196533205,19.46,2
BRC,San Carlos De Bariloche Airport,-41.151199,-71.157501,19.47,1
SDK,Sandakan Airport,5.900899887084961,118.05899810791016,19.47,1
LOE,Loei Airport,17.43910026550293,101.72200012207033,19.49,2
ACR,Araracuara Airport,-0.5833,-72.4083,19.5,3
ROI,Roi Et Airport,16.11680030822754,103.77400207519533,19.5,2
ANS,Andahuaylas Airport,-13.70639991760254,-73.35040283203125,19.52,2
OME,Nome Airport,64.51219940185547,-165.44500732421875,19.54,2
OTZ,Ralph Wien Memorial Airport,66.88469696,-162.598999,19.56,2
LQM,Caucaya Airport,-0.182278,-74.7708,19.56,3
PRH,Phrae Airport,18.132200241088867,100.16500091552734,19.57,2
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,-8.08141040802002,-79.10880279541016,19.57,2
SDP,Sand Point Airport,55.314998626708984,-160.5229949951172,19.57,2
PCL,Cap FAP David Abenzur Rengifo International Airport,-8.37794017791748,-74.57430267333984,19.57,2
DPS,Ngurah Rai (Bali) International Airport,-8.7481698989868,115.16699981689,19.58,1
IQQ,Diego Aracena Airport,-20.535200119018555,-70.1812973022461,19.59,2
UNN,Ranong Airport,9.777620315551758,98.58550262451172,19.62,2
SNO,Sakon Nakhon Airport,17.195100784301758,104.11900329589844,19.63,2
ROO,Maestro Marinho Franco Airport,-16.586,-54.7248,19.63,2
CIZ,Coari Airport,-4.134059906005859,-63.132598876953125,19.64,3
PIN,Parintins Airport,-2.6730198860168457,-56.777198791503906,19.64,3
CJA,Mayor General FAP Armando Revoredo Iglesias Airport,-7.1391801834106445,-78.4894027709961,19.66,2
BAZ,Barcelos Airport,-0.981292,-62.919601,19.67,3
CUZ,Alejandro Velasco Astete International Airport,-13.535699844400002,-71.9387969971,19.69,2
CDB,Cold Bay Airport,55.20610046386719,-162.72500610351562,19.7,2
KOP,Nakhon Phanom Airport,17.383800506591797,104.64299774169922,19.7,2
LOP,Lombok International Airport,-8.757322,116.276675,19.72,1
PAC,Marcos A. Gelabert International Airport,8.973340034484863,-79.55560302734375,19.73,3
